KILN=1
CYCLE NO=67
DATE START=25-04-2014
TIME START=11:50:47
PROGRAM=PRH53NAR
WOOD NAME=MT53
WOOD GROUP=3
DAMP MEASUR=1
TIME INTERVAL=0
TEMP RANGE=1
DATE	TIME	STATE	PHASE	T°C	EMC%/RH%/dT°C	DG	MC%	MC1%	MC2%	MC3%	MC4%	MC5%	MC6%	ALARMS	EMC1/2-t1/2	Tset°C	EMCset%/RHset%/dTset°C	MC1	MC2	MC3	MC4	MC5	MC6	HEAT	DRY	SPRAY	VENT.	VAPOR.
25-04-2014	11:50:47	START	F2	36,3	17,3	1,5	71,6	70,0	76,9	57,8	74,0	74,7	76,6	A03 	1/2 - 1/2	70,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	OFF	0% >	OFF	
25-04-2014	12:05:47	START	F2	57,9	12,3	2,1	58,4	55,6	61,2	54,4	58,9	59,3	61,0	A03 	1/2 - 1/2	70,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	12:20:47	START	F2	61,5	11,4	2,3	56,4	54,2	59,7	49,8	57,5	57,8	59,7		1/2 - 1/2	70,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	12:35:47	START	F2	62,1	11,3	2,3	57,3	54,3	59,9	54,5	57,6	58,0	59,8		1/2 - 1/2	70,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	12:50:47	START	F2	63,9	11,1	2,3	55,5	53,8	59,4	46,5	57,2	57,4	59,2		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	13:05:46	START	F2	63,9	11,0	2,4	57,2	54,2	59,7	54,6	57,5	57,8	59,6		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	13:20:46	START	F2	64,6	10,9	2,4	57,3	54,1	59,7	56,0	57,3	57,7	59,3		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	13:35:46	START	F2	62,5	11,3	2,3	58,6	55,3	61,0	57,2	58,6	59,0	60,7		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% <	OFF	
25-04-2014	13:50:46	START	F2	64,5	11,3	2,3	57,8	54,7	60,2	56,2	57,8	58,1	59,8		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	OFF	OFF	21	0% <	OFF	
25-04-2014	14:05:46	START	F2	63,6	11,6	2,2	58,2	55,4	61,3	55,4	58,5	58,6	60,3		1/2 - 1/2	65,0	14,0	ON	ON	ON	ON	ON	ON	ON	OFF	ON	100% >	OFF	
